                       i               ith prime         n of primes < i
                    5931                   58603                     779
                    5932                   58613                     779
                    5933                   58631                     779
                    5934                   58657                     779
                    5935                   58661                     779
                    5936                   58679                     779
                    5937                   58687                     779
                    5938                   58693                     779
                    5939                   58699                     780
                    5940                   58711                     780
                    5941                   58727                     780
                    5942                   58733                     780
                    5943                   58741                     780
                    5944                   58757                     780
                    5945                   58763                     780
                    5946                   58771                     780
                    5947                   58787                     780
                    5948                   58789                     780
                    5949                   58831                     780
                    5950                   58889                     780
                    5951                   58897                     780
                    5952                   58901                     780
                    5953                   58907                     781
                    5954                   58909                     781
                    5955                   58913                     781
                    5956                   58921                     781
                    5957                   58937                     781
                    5958                   58943                     781
                    5959                   58963                     781
                    5960                   58967                     781
                    5961                   58979                     781
                    5962                   58991                     781
                    5963                   58997                     781
                    5964                   59009                     781
                    5965                   59011                     781
                    5966                   59021                     781
                    5967                   59023                     781
                    5968                   59029                     781
                    5969                   59051                     781
                    5970                   59053                     781
                    5971                   59063                     781
                    5972                   59069                     781
                    5973                   59077                     781
                    5974                   59083                     781
                    5975                   59093                     781
                    5976                   59107                     781
                    5977                   59113                     781
                    5978                   59119                     781
                    5979                   59123                     781
                    5980                   59141                     781
                    5981                   59149                     782
                    5982                   59159                     782
                    5983                   59167                     782
                    5984                   59183                     782
                    5985                   59197                     782
                    5986                   59207                     782
                    5987                   59209                     783
                    5988                   59219                     783
                    5989                   59221                     783
                    5990                   59233                     783
                    5991                   59239                     783
                    5992                   59243                     783
                    5993                   59263                     783
                    5994                   59273                     783
                    5995                   59281                     783
                    5996                   59333                     783
                    5997                   59341                     783
                    5998                   59351                     783
                    5999                   59357                     783
                    6000                   59359                     783
                    6001                   59369                     783
                    6002                   59377                     783
                    6003                   59387                     783
                    6004                   59393                     783
                    6005                   59399                     783
                    6006                   59407                     783
                    6007                   59417                     784
                    6008                   59419                     784
                    6009                   59441                     784
                    6010                   59443                     784
                    6011                   59447                     785
                    6012                   59453                     785
                    6013                   59467                     785
                    6014                   59471                     785
                    6015                   59473                     785
                    6016                   59497                     785
                    6017                   59509                     785
                    6018                   59513                     785
                    6019                   59539                     785
                    6020                   59557                     785
                    6021                   59561                     785
                    6022                   59567                     785
                    6023                   59581                     785
                    6024                   59611                     785
                    6025                   59617                     785
                    6026                   59621                     785
                    6027                   59627                     785
                    6028                   59629                     785
                    6029                   59651                     786
                    6030                   59659                     786
                    6031                   59663                     786
                    6032                   59669                     786
                    6033                   59671                     786
                    6034                   59693                     786
                    6035                   59699                     786
                    6036                   59707                     786
                    6037                   59723                     787
                    6038                   59729                     787
                    6039                   59743                     787
                    6040                   59747                     787
                    6041                   59753                     787
                    6042                   59771                     787
                    6043                   59779                     788
                    6044                   59791                     788
                    6045                   59797                     788
                    6046                   59809                     788
                    6047                   59833                     789
                    6048                   59863                     789
                    6049                   59879                     789
                    6050                   59887                     789
                    6051                   59921                     789
                    6052                   59929                     789
                    6053                   59951                     790
                    6054                   59957                     790
                    6055                   59971                     790
                    6056                   59981                     790
                    6057                   59999                     790
                    6058                   60013                     790
                    6059                   60017                     790
                    6060                   60029                     790
                    6061                   60037                     790
                    6062                   60041                     790
                    6063                   60077                     790
                    6064                   60083                     790
                    6065                   60089                     790
                    6066                   60091                     790
                    6067                   60101                     791
                    6068                   60103                     791
                    6069                   60107                     791
                    6070                   60127                     791
                    6071                   60133                     791
                    6072                   60139                     791
                    6073                   60149                     792
                    6074                   60161                     792
                    6075                   60167                     792
                    6076                   60169                     792
                    6077                   60209                     792
                    6078                   60217                     792
                    6079                   60223                     793
                    6080                   60251                     793
                    6081                   60257                     793
                    6082                   60259                     793
                    6083                   60271                     793
                    6084                   60289                     793
                    6085                   60293                     793
                    6086                   60317                     793
                    6087                   60331                     793
                    6088                   60337                     793
                    6089                   60343                     794
                    6090                   60353                     794
                    6091                   60373                     795
                    6092                   60383                     795
                    6093                   60397                     795
                    6094                   60413                     795
                    6095                   60427                     795
                    6096                   60443                     795
                    6097                   60449                     795
                    6098                   60457                     795
                    6099                   60493                     795
                    6100                   60497                     795
                    6101                   60509                     796
                    6102                   60521                     796
                    6103                   60527                     796
                    6104                   60539                     796
                    6105                   60589                     796
                    6106                   60601                     796
                    6107                   60607                     796
                    6108                   60611                     796
                    6109                   60617                     796
                    6110                   60623                     796
                    6111                   60631                     796
                    6112                   60637                     796
                    6113                   60647                     797
                    6114                   60649                     797
                    6115                   60659                     797
                    6116                   60661                     797
                    6117                   60679                     797
                    6118                   60689                     797
                    6119                   60703                     797
                    6120                   60719                     797
                    6121                   60727                     798
                    6122                   60733                     798
                    6123                   60737                     798
                    6124                   60757                     798
                    6125                   60761                     798
                    6126                   60763                     798
                    6127                   60773                     798
                    6128                   60779                     798
                    6129                   60793                     798
                    6130                   60811                     798
                    6131                   60821                     799
                    6132                   60859                     799
                    6133                   60869                     800
                    6134                   60887                     800
                    6135                   60889                     800
                    6136                   60899                     800
                    6137                   60901                     800
                    6138                   60913                     800
                    6139                   60917                     800
                    6140                   60919                     800
                    6141                   60923                     800
                    6142                   60937                     800
                    6143                   60943                     801
                    6144                   60953                     801
                    6145                   60961                     801
                    6146                   61001                     801
                    6147                   61007                     801
                    6148                   61027                     801
                    6149                   61031                     801
                    6150                   61043                     801
                    6151                   61051                     802
                    6152                   61057                     802
                    6153                   61091                     802
                    6154                   61099                     802
                    6155                   61121                     802
                    6156                   61129                     802
                    6157                   61141                     802
                    6158                   61151                     802
                    6159                   61153                     802
                    6160                   61169                     802
                    6161                   61211                     802
                    6162                   61223                     802
                    6163                   61231                     803
                    6164                   61253                     803
                    6165                   61261                     803
                    6166                   61283                     803
                    6167                   61291                     803
                    6168                   61297                     803
                    6169                   61331                     803
                    6170                   61333                     803
                    6171                   61339                     803
                    6172                   61343                     803
                    6173                   61357                     804
                    6174                   61363                     804
                    6175                   61379                     804
                    6176                   61381                     804
                    6177                   61403                     804
                    6178                   61409                     804
                    6179                   61417                     804
                    6180                   61441                     804
                    6181                   61463                     804
                    6182                   61469                     804
                    6183                   61471                     804
                    6184                   61483                     804
                    6185                   61487                     804
                    6186                   61493                     804
                    6187                   61507                     804
                    6188                   61511                     804
                    6189                   61519                     804
                    6190                   61543                     804
                    6191                   61547                     804
                    6192                   61553                     804
                    6193                   61559                     804
                    6194                   61561                     804
                    6195                   61583                     804
                    6196                   61603                     804
                    6197                   61609                     805
                    6198                   61613                     805
                    6199                   61627                     806
                    6200                   61631                     806
                    6201                   61637                     806
                    6202                   61643                     806
                    6203                   61651                     807
                    6204                   61657                     807
                    6205                   61667                     807
                    6206                   61673                     807
                    6207                   61681                     807
                    6208                   61687                     807
                    6209                   61703                     807
                    6210                   61717                     807
                    6211                   61723                     808
                    6212                   61729                     808
                    6213                   61751                     808
                    6214                   61757                     808
                    6215                   61781                     808
                    6216                   61813                     808
                    6217                   61819                     809
                    6218                   61837                     809
                    6219                   61843                     809
                    6220                   61861                     809
                    6221                   61871                     810
                    6222                   61879                     810
                    6223                   61909                     810
                    6224                   61927                     810
                    6225                   61933                     810
                    6226                   61949                     810
                    6227                   61961                     810
                    6228                   61967                     810
                    6229                   61979                     811
                    6230                   61981                     811
                    6231                   61987                     811
                    6232                   61991                     811
                    6233                   62003                     811
                    6234                   62011                     811
                    6235                   62017                     811
                    6236                   62039                     811
                    6237                   62047                     811
                    6238                   62053                     811
                    6239                   62057                     811
                    6240                   62071                     811
                    6241                   62081                     811
                    6242                   62099                     811
                    6243                   62119                     811
                    6244                   62129                     811
                    6245                   62131                     811
                    6246                   62137                     811
                    6247                   62141                     812
                    6248                   62143                     812
                    6249                   62171                     812
                    6250                   62189                     812
                    6251                   62191                     812
                    6252                   62201                     812
                    6253                   62207                     812
                    6254                   62213                     812
                    6255                   62219                     812
                    6256                   62233                     812
                    6257                   62273                     813
                    6258                   62297                     813
                    6259                   62299                     813
                    6260                   62303                     813
                    6261                   62311                     813
                    6262                   62323                     813
                    6263                   62327                     814
                    6264                   62347                     814
                    6265                   62351                     814
                    6266                   62383                     814
                    6267                   62401                     814
                    6268                   62417                     814
                    6269                   62423                     815
                    6270                   62459                     815
                    6271                   62467                     816
                    6272                   62473                     816
                    6273                   62477                     816
                    6274                   62483                     816
                    6275                   62497                     816
                    6276                   62501                     816
                    6277                   62507                     817
                    6278                   62533                     817
                    6279                   62539                     817
                    6280                   62549                     817
                    6281                   62563                     817
                    6282                   62581                     817
                    6283                   62591                     817
                    6284                   62597                     817
                    6285                   62603                     817
                    6286                   62617                     817
                    6287                   62627                     818
                    6288                   62633                     818
                    6289                   62639                     818
                    6290                   62653                     818
                    6291                   62659                     818
                    6292                   62683                     818
                    6293                   62687                     818
                    6294                   62701                     818
                    6295                   62723                     818
                    6296                   62731                     818
                    6297                   62743                     818
                    6298                   62753                     818
                    6299                   62761                     819
                    6300                   62773                     819
                    6301                   62791                     820
                    6302                   62801                     820
                    6303                   62819                     820
                    6304                   62827                     820
                    6305                   62851                     820
                    6306                   62861                     820
                    6307                   62869                     820
                    6308                   62873                     820
                    6309                   62897                     820
                    6310                   62903                     820
                    6311                   62921                     821
                    6312                   62927                     821
                    6313                   62929                     821
                    6314                   62939                     821
                    6315                   62969                     821
                    6316                   62971                     821
                    6317                   62981                     822
                    6318                   62983                     822
                    6319                   62987                     822
                    6320                   62989                     822
                    6321                   63029                     822
                    6322                   63031                     822
                    6323                   63059                     823
                    6324                   63067                     823
                    6325                   63073                     823
                    6326                   63079                     823
                    6327                   63097                     823
                    6328                   63103                     823
                    6329                   63113                     824
                    6330                   63127                     824
                    6331                   63131                     824
                    6332                   63149                     824
                    6333                   63179                     824
                    6334                   63197                     824
                    6335                   63199                     824
                    6336                   63211                     824
                    6337                   63241                     825
                    6338                   63247                     825
                    6339                   63277                     825
                    6340                   63281                     825
                    6341                   63299                     825
                    6342                   63311                     825
                    6343                   63313                     826
                    6344                   63317                     826
                    6345                   63331                     826
                    6346                   63337                     826
                    6347                   63347                     826
                    6348                   63353                     826
                    6349                   63361                     826
                    6350                   63367                     826
                    6351                   63377                     826
                    6352                   63389                     826
                    6353                   63391                     827
                    6354                   63397                     827
                    6355                   63409                     827
                    6356                   63419                     827
                    6357                   63421                     827
                    6358                   63439                     827
                    6359                   63443                     828
                    6360                   63463                     828
                    6361                   63467                     829
                    6362                   63473                     829
                    6363                   63487                     829
                    6364                   63493                     829
                    6365                   63499                     829
                    6366                   63521                     829
                    6367                   63527                     830
                    6368                   63533                     830
                    6369                   63541                     830
                    6370                   63559                     830
                    6371                   63577                     830
                    6372                   63587                     830
                    6373                   63589                     831
                    6374                   63599                     831
                    6375                   63601                     831
                    6376                   63607                     831
                    6377                   63611                     831
                    6378                   63617                     831
                    6379                   63629                     832
                    6380                   63647                     832
                    6381                   63649                     832
                    6382                   63659                     832
                    6383                   63667                     832
                    6384                   63671                     832
                    6385                   63689                     832
                    6386                   63691                     832
                    6387                   63697                     832
                    6388                   63703                     832
                    6389                   63709                     833
                    6390                   63719                     833
                    6391                   63727                     833
                    6392                   63737                     833
                    6393                   63743                     833
                    6394                   63761                     833
                    6395                   63773                     833
                    6396                   63781                     833
                    6397                   63793                     834
                    6398                   63799                     834
                    6399                   63803                     834
                    6400                   63809                     834
                    6401                   63823                     834
                    6402                   63839                     834
                    6403                   63841                     834
                    6404                   63853                     834
                    6405                   63857                     834
                    6406                   63863                     834
                    6407                   63901                     834
                    6408                   63907                     834
                    6409                   63913                     834
                    6410                   63929                     834
                    6411                   63949                     834
                    6412                   63977                     834
                    6413                   63997                     834
                    6414                   64007                     834
                    6415                   64013                     834
                    6416                   64019                     834
                    6417                   64033                     834
                    6418                   64037                     834
                    6419                   64063                     834
                    6420                   64067                     834
                    6421                   64081                     835
                    6422                   64091                     835
                    6423                   64109                     835
                    6424                   64123                     835
                    6425                   64151                     835
                    6426                   64153                     835
                    6427                   64157                     836
                    6428                   64171                     836
                    6429                   64187                     836
                    6430                   64189                     836
                    6431                   64217                     836
                    6432                   64223                     836
                    6433                   64231                     836
                    6434                   64237                     836
                    6435                   64271                     836
                    6436                   64279                     836
                    6437                   64283                     836
                    6438                   64301                     836
                    6439                   64303                     836
                    6440                   64319                     836
                    6441                   64327                     836
                    6442                   64333                     836
                    6443                   64373                     836
                    6444                   64381                     836
                    6445                   64399                     836
                    6446                   64403                     836
                    6447                   64433                     836
                    6448                   64439                     836
                    6449                   64451                     837
                    6450                   64453                     837
                    6451                   64483                     838
                    6452                   64489                     838
                    6453                   64499                     838
                    6454                   64513                     838
                    6455                   64553                     838
                    6456                   64567                     838
                    6457                   64577                     838
                    6458                   64579                     838
                    6459                   64591                     838
                    6460                   64601                     838
                    6461                   64609                     838
                    6462                   64613                     838
                    6463                   64621                     838
                    6464                   64627                     838
                    6465                   64633                     838
                    6466                   64661                     838
                    6467                   64663                     838
                    6468                   64667                     838
                    6469                   64679                     839
                    6470                   64693                     839
                    6471                   64709                     839
                    6472                   64717                     839
                    6473                   64747                     840
                    6474                   64763                     840
                    6475                   64781                     840
                    6476                   64783                     840
                    6477                   64793                     840
                    6478                   64811                     840
                    6479                   64817                     840
                    6480                   64849                     840
                    6481                   64853                     841
                    6482                   64871                     841
                    6483                   64877                     841
                    6484                   64879                     841
                    6485                   64891                     841
                    6486                   64901                     841
                    6487                   64919                     841
                    6488                   64921                     841
                    6489                   64927                     841
                    6490                   64937                     841
                    6491                   64951                     842
                    6492                   64969                     842
                    6493                   64997                     842
                    6494                   65003                     842
                    6495                   65011                     842
                    6496                   65027                     842
                    6497                   65029                     842
                    6498                   65033                     842
                    6499                   65053                     842
                    6500                   65063                     842
                    6501                   65071                     842
                    6502                   65089                     842
                    6503                   65099                     842
                    6504                   65101                     842
                    6505                   65111                     842
                    6506                   65119                     842
                    6507                   65123                     842
                    6508                   65129                     842
                    6509                   65141                     842
                    6510                   65147                     842
                    6511                   65167                     842
                    6512                   65171                     842
                    6513                   65173                     842
                    6514                   65179                     842
                    6515                   65183                     842
                    6516                   65203                     842
                    6517                   65213                     842
                    6518                   65239                     842
                    6519                   65257                     842
                    6520                   65267                     842
                    6521                   65269                     843
                    6522                   65287                     843
                    6523                   65293                     843
                    6524                   65309                     843
                    6525                   65323                     843
                    6526                   65327                     843
                    6527                   65353                     843
                    6528                   65357                     843
                    6529                   65371                     844
                    6530                   65381                     844
                    6531                   65393                     844
                    6532                   65407                     844
                    6533                   65413                     844
                    6534                   65419                     844
                    6535                   65423                     844
                    6536                   65437                     844
                    6537                   65447                     844
                    6538                   65449                     844
                    6539                   65479                     844
                    6540                   65497                     844
                    6541                   65519                     844
                    6542                   65521                     844
                    6543                   65537                     844
                    6544                   65539                     844
                    6545                   65543                     844
                    6546                   65551                     844
                    6547                   65557                     845
