                       i               ith prime         n of primes < i
                     493                    3529                      94
                     494                    3533                      94
                     495                    3539                      94
                     496                    3541                      94
                     497                    3547                      94
                     498                    3557                      94
                     499                    3559                      95
                     500                    3571                      95
                     501                    3581                      95
                     502                    3583                      95
                     503                    3593                      96
                     504                    3607                      96
                     505                    3613                      96
                     506                    3617                      96
                     507                    3623                      96
                     508                    3631                      96
                     509                    3637                      97
                     510                    3643                      97
                     511                    3659                      97
                     512                    3671                      97
                     513                    3673                      97
                     514                    3677                      97
                     515                    3691                      97
                     516                    3697                      97
                     517                    3701                      97
                     518                    3709                      97
                     519                    3719                      97
                     520                    3727                      97
                     521                    3733                      98
                     522                    3739                      98
                     523                    3761                      99
                     524                    3767                      99
                     525                    3769                      99
                     526                    3779                      99
                     527                    3793                      99
                     528                    3797                      99
                     529                    3803                      99
                     530                    3821                      99
                     531                    3823                      99
                     532                    3833                      99
                     533                    3847                      99
                     534                    3851                      99
                     535                    3853                      99
                     536                    3863                      99
                     537                    3877                      99
                     538                    3881                      99
                     539                    3889                      99
                     540                    3907                      99
                     541                    3911                     100
                     542                    3917                     100
                     543                    3919                     100
                     544                    3923                     100
                     545                    3929                     100
                     546                    3931                     100
                     547                    3943                     101
                     548                    3947                     101
                     549                    3967                     101
                     550                    3989                     101
                     551                    4001                     101
                     552                    4003                     101
                     553                    4007                     101
                     554                    4013                     101
                     555                    4019                     101
                     556                    4021                     101
                     557                    4027                     102
                     558                    4049                     102
                     559                    4051                     102
                     560                    4057                     102
                     561                    4073                     102
                     562                    4079                     102
                     563                    4091                     103
                     564                    4093                     103
                     565                    4099                     103
                     566                    4111                     103
                     567                    4127                     103
                     568                    4129                     103
                     569                    4133                     104
                     570                    4139                     104
                     571                    4153                     105
                     572                    4157                     105
                     573                    4159                     105
                     574                    4177                     105
                     575                    4201                     105
                     576                    4211                     105
                     577                    4217                     106
                     578                    4219                     106
                     579                    4229                     106
                     580                    4231                     106
                     581                    4241                     106
                     582                    4243                     106
                     583                    4253                     106
                     584                    4259                     106
                     585                    4261                     106
                     586                    4271                     106
                     587                    4273                     107
                     588                    4283                     107
                     589                    4289                     107
                     590                    4297                     107
                     591                    4327                     107
                     592                    4337                     107
                     593                    4339                     108
                     594                    4349                     108
                     595                    4357                     108
                     596                    4363                     108
                     597                    4373                     108
                     598                    4391                     108
                     599                    4397                     109
                     600                    4409                     109
                     601                    4421                     110
                     602                    4423                     110
                     603                    4441                     110
                     604                    4447                     110
                     605                    4451                     110
                     606                    4457                     110
                     607                    4463                     111
                     608                    4481                     111
                     609                    4483                     111
                     610                    4493                     111
                     611                    4507                     111
                     612                    4513                     111
                     613                    4517                     112
                     614                    4519                     112
                     615                    4523                     112
                     616                    4547                     112
